Time_s, Short-Term-Fuel-Trim-Bank-1_%, Calculated-Engine-Load-Value_%, Vehicle-Speed_km/h, Intake-Air-Temperature_C, Engine-Coolant-Temperature_C, Long-Term-Fuel-Trim-Bank-1_%, Intake-Manifold-Absolute-Pressure_kPa, Engine-RPM_rpm, Absolute-Throttle-Position_%, Timing-Advance-for-#1-cylinder_Â°
0.0, *, *, *, *, *, *, *, *, *, *
1.2, *, 67.5, 62, 28, 87, -5.2, 83.3, *, *, *
2.4, -1.6, 68.7, 63, 28, 87, -3.8, 88.6, 2528, 29.1, 15.3
3.6, -1.6, 86.2, 65, 28, 87, -2.8, 92.5, 2611, 34.9, 15.0
4.8, -2.2, 89.8, 67, 28, 87, -2.3, 94.0, 2636, 34.8, 15.0
6.0, -2.8, 89.5, 69, 28, 87, -2.7, 92.3, 2658, 34.6, 15.1
7.2, 1.7, 89.8, 69, 28, 87, -2.3, 93.9, 2671, 30.0, 15.5
8.4, 1.9, 89.6, 69, 28, 87, -2.6, 91.8, 2656, 33.6, 15.5
9.6, -2.2, 92.7, 71, 28, 87, -2.3, 93.6, 2703, 38.7, 15.5
10.8, -2.5, 95.8, 75, 28, 87, -2.5, 96.8, 2918, 43.7, 16.0
12.0, -3.8, 98.5, 76, 28, 87, -2.5, 97.4, 2968, 49.7, 17.0
13.2, -3.9, 99.1, 78, 28, 87, -3.2, 94.5, 2939, 46.3, 17.5
14.4, -3.8, 95.4, 81, 28, 87, -3.1, 93.2, 3041, 42.5, 18.0
15.6, -4.8, 93.4, 83, 28, 87, -3.1, 89.9, 3241, 34.5, 18.8
16.8, -6.3, 86.1, 84, 28, 87, -4.8, 85.7, 3266, 32.0, 18.9
18.0, -5.3, 81.1, 86, 28, 87, -4.7, 79.1, 3256, 21.8, 18.3
19.2, -3.8, 71.7, 87, 28, 87, -5.5, 80.5, 3093, 22.0, 18.5
20.4, -1.7, 75.4, 88, 28, 87, -6.3, 83.0, 2646, 25.5, 16.0
21.6, 1.7, 83.0, 89, 28, 87, -6.3, 85.4, 2689, 26.6, 16.0
22.8, 3.7, 83.8, 90, 28, 87, -6.1, 87.4, 2729, 28.6, 16.0
24.0, 2.8, 84.3, 91, 28, 87, -5.5, 88.8, 2742, 29.6, 16.0
25.2, -0.8, 83.9, 91, 28, 87, -5.2, 89.0, 2756, 29.8, 16.0
26.4, 0.5, 84.4, 92, 28, 87, -4.7, 88.9, 2767, 29.6, 16.0
27.6, 3.1, 84.5, 93, 28, 87, -4.3, 87.5, 2764, 29.3, 16.1
28.8, -1.3, 82.4, 94, 28, 87, -4.0, 85.0, 2734, 25.1, 17.0
30.0, -6.3, 78.7, 93, 28, 87, -5.5, 80.8, 2704, 24.1, 17.7
31.2, -5.4, 78.8, 95, 28, 87, -5.6, 77.5, 2658, 20.9, 21.4
32.4, -5.2, 78.7, 97, 28, 87, -6.3, 82.0, 2691, 22.2, 20.2
33.6, 0.7, 79.0, 98, 28, 87, -6.3, 82.6, 2705, 24.7, 16.5
34.8, 0.9, 79.2, 99, 28, 87, -6.3, 86.0, 2428, 24.5, 16.2
36.0, 1.5, 78.9, 101, 28, 87, -5.8, 85.7, 2425, 24.3, 15.5
37.2, 0.8, 79.0, 102, 28, 87, -4.7, 85.0, 2416, 24.7, 15.5
38.4, -1.6, 77.4, 103, 28, 87, -4.4, 85.0, 2416, 24.7, 15.5
39.6, -0.1, 77.6, 104, 28, 87, -3.9, 85.0, 2420, 24.7, 16.0
40.8, 3.1, 77.5, 105, 28, 87, -3.9, 81.9, 2430, 24.1, 16.3
42.0, -0.4, 73.7, 106, 28, 87, -3.9, 77.0, 2455, 20.5, 20.4
43.2, -4.4, 68.2, 107, 28, 87, -4.7, 77.0, 2467, 19.6, 20.5
44.4, -8.5, 62.1, 107, 28, 87, -5.3, 75.9, 2483, 18.0, 20.5
45.6, -8.1, 62.0, 108, 28, 87, -7.0, 69.1, 2497, 18.0, 21.6
46.8, -6.3, 62.1, 107, 28, 87, -7.7, 68.6, 2499, 18.0, 23.0
48.0, -2.1, 61.5, 108, 28, 87, -8.7, 68.2, 2500, 18.0, 23.4
49.2, 2.1, 61.4, 108, 28, 87, -9.3, 77.1, 2500, 19.6, 21.8
50.4, 5.4, 74.3, 109, 28, 87, -8.9, 77.4, 2500, 22.4, 17.5
51.6, 5.7, 74.5, 110, 28, 87, -7.0, 81.0, 2527, 22.4, 17.5
52.8, 6.9, 74.5, 111, 28, 87, -6.7, 81.0, 2553, 22.4, 17.5
54.0, 5.1, 74.1, 111, 28, 87, -6.3, 81.0, 2580, 22.8, 17.5
55.2, 0.8, 72.9, 110, 28, 87, -5.6, 79.8, 2594, 22.9, 17.7
56.4, -0.2, 71.7, 112, 28, 87, -4.7, 78.0, 2621, 21.6, 19.9
57.6, -1.6, 69.4, 115, 28, 87, -4.7, 77.0, 2636, 21.5, 20.4
58.8, -2.5, 68.1, 115, 28, 87, -4.7, 75.6, 2656, 21.2, 22.0
60.0, -3.6, 65.4, 115, 28, 87, -4.7, 73.1, 2679, 20.3, 22.5
61.2, -5.5, 58.0, 117, 28, 87, -5.5, 73.0, 2683, 18.5, 23.5
62.4, -3.8, 51.7, 117, 28, 87, -6.4, 73.0, 2686, 13.4, 28.8
63.6, -1.6, 41.3, 116, 28, 87, -7.0, 61.4, 2687, 13.6, 28.9
64.8, -3.4, 43.1, 116, 28, 87, -7.0, 51.2, 2687, 14.6, 27.9
66.0, -5.5, 46.0, 115, 28, 87, -7.0, 54.6, 2649, 14.6, 27.9
67.2, -2.8, 46.4, 115, 28, 87, -7.0, 54.1, 2653, 15.0, 27.3
68.4, 0.0, 47.2, 115, 28, 87, -7.8, 54.0, 2652, 14.9, 27.5
69.6, 2.3, 47.1, 115, 28, 87, -8.1, 54.0, 2648, 14.9, 27.5
70.8, 0.1, 47.1, 115, 28, 87, -8.6, 54.0, 2638, 15.0, 27.5
72.0, -3.6, 47.1, 114, 28, 87, -8.6, 54.0, 2635, 14.9, 27.5
73.2, -0.8, 47.4, 114, 28, 87, -8.4, 54.0, 2630, 14.9, 27.4
74.4, -0.9, 47.1, 114, 28, 87, -7.8, 54.2, 2625, 14.9, 27.5
75.6, -1.6, 46.9, 114, 28, 87, -7.8, 54.0, 2626, 14.9, 27.5
76.8, -1.8, 41.2, 114, 28, 86, -7.8, 54.1, 2620, 14.2, 27.8
78.0, -2.3, 22.7, 112, 28, 86, -2.5, 39.5, 2589, 11.8, 28.4
79.2, -9.8, 19.0, 111, 28, 86, 1.8, 21.8, 2535, 0.1, 34.9
80.4, -16.7, 14.1, 109, 28, 86, -2.3, 19.6, 2534, 2.7, 35.3
81.6, 2.3, 34.9, 107, 28, 86, -3.0, 26.3, 2542, 7.5, 35.9
82.8, 1.1, 37.8, 105, 28, 86, -4.7, 56.1, 2635, 12.6, 31.3
84.0, -3.1, 57.6, 105, 28, 86, -6.8, 60.8, 2588, 17.0, 25.8
85.2, -3.1, 58.7, 105, 28, 86, -8.9, 65.3, 2496, 17.3, 24.4
86.4, -3.0, 59.5, 105, 28, 86, -10.2, 61.2, 2495, 16.4, 25.1
87.6, -2.3, 50.4, 105, 28, 86, -10.4, 60.1, 2493, 14.9, 26.4
88.8, -0.9, 50.1, 105, 28, 85, -10.9, 57.1, 2469, 14.9, 26.5
90.0, 5.5, 49.1, 105, 28, 85, -10.6, 57.0, 2454, 14.9, 26.5
91.2, 5.5, 49.9, 105, 28, 85, -10.2, 57.1, 2412, 15.0, 26.4
92.4, 5.5, 52.6, 105, 28, 85, -9.9, 58.1, 2413, 15.0, 26.4
93.6, 2.0, 52.6, 105, 28, 86, -9.4, 60.1, 2417, 15.8, 25.4
94.8, -2.3, 52.9, 105, 28, 86, -9.0, 60.0, 2419, 15.7, 25.5
96.0, -2.3, 52.9, 105, 28, 86, -8.5, 60.0, 2422, 15.8, 25.4
97.2, -2.3, 53.0, 106, 28, 86, -7.8, 56.3, 2427, 15.2, 25.9
98.4, 1.8, 50.1, 106, 28, 86, -7.7, 56.0, 2433, 13.8, 27.9
99.6, 7.0, 45.5, 106, 28, 87, -7.0, 56.3, 2440, 13.6, 28.0
100.8, 5.4, 43.9, 106, 28, 87, -7.0, 56.0, 2448, 13.4, 27.9
102.0, 4.0, 42.0, 106, 28, 87, -7.0, 52.4, 2451, 13.3, 28.2
103.2, 5.4, 41.4, 106, 28, 87, -6.7, 48.8, 2455, 13.4, 28.9
104.4, 5.5, 40.8, 107, 28, 87, -4.7, 45.3, 2457, 12.9, 29.6
105.6, 3.1, 38.8, 107, 28, 87, -4.7, 42.8, 2454, 12.2, 31.4
106.8, 1.0, 36.0, 106, 28, 87, -4.7, 28.5, 2401, 7.3, 32.6
108.0, -14.7, 13.9, 105, 28, 87, -4.3, 27.1, 2401, 0.1, 34.9
109.2, -14.1, 13.3, 104, 29, 87, -2.3, 18.6, 2138, 0.0, 26.1
110.4, -0.0, 13.5, 102, 29, 87, -2.3, 18.0, 2135, 0.1, 0.1
111.6, 0.0, 13.7, 100, 29, 87, -2.3, 18.3, 2058, 0.0, 0.0
112.8, -0.0, 13.2, 99, 29, 87, -2.3, 18.0, 1994, 0.0, 0.0
114.0, 0.0, 13.1, 97, 29, 87, -2.3, 18.1, 1941, 0.1, 0.0
115.2, -0.0, 13.8, 95, 29, 87, -2.3, 18.5, 1901, 0.5, 0.3
116.4, 3.6, 17.9, 95, 29, 87, -2.5, 19.5, 1847, 2.1, 1.6
117.6, 7.8, 24.8, 95, 29, 86, -6.3, 48.3, 2079, 5.5, 7.1
118.8, 7.8, 24.7, 92, 29, 86, -6.5, 47.7, 2332, 13.7, 27.9
120.0, 7.8, 24.8, 92, 29, 86, -7.8, 44.5, 2261, 11.7, 29.7
121.2, -0.3, 24.5, 93, 29, 86, -7.8, 44.1, 2169, 7.2, 34.9
122.4, -7.0, 24.3, 94, 29, 85, -9.4, 35.9, 2182, 8.1, 35.0
123.6, 7.7, 31.1, 94, 29, 85, -9.0, 32.6, 2207, 10.2, 34.9
124.8, 4.2, 39.3, 94, 29, 85, -7.8, 50.2, 2288, 12.5, 31.6
126.0, -10.9, 57.0, 95, 29, 85, -8.4, 53.9, 2287, 15.3, 26.0
127.2, -11.1, 56.9, 95, 29, 85, -9.4, 64.0, 2285, 14.2, 26.0
128.4, -11.7, 56.9, 96, 29, 85, -10.2, 51.2, 2279, 12.8, 27.4
129.6, -2.0, 45.1, 96, 29, 85, -10.2, 34.1, 2268, 7.2, 37.3
130.8, 10.9, 23.6, 96, 29, 85, -9.8, 35.4, 2280, 7.7, 37.2
132.0, 7.5, 27.3, 96, 29, 85, -9.3, 37.0, 2297, 9.9, 34.9
133.2, 3.9, 32.2, 96, 29, 85, -8.6, 38.1, 2287, 10.6, 33.9
134.4, 3.1, 43.7, 96, 29, 85, -8.3, 39.0, 2276, 12.5, 29.9
135.6, 2.8, 43.5, 96, 29, 86, -7.0, 39.3, 2281, 10.5, 31.7
136.8, -3.9, 36.4, 96, 29, 86, -6.4, 38.3, 2280, 4.9, 38.3
138.0, -3.9, 24.9, 96, 29, 86, -3.9, 33.5, 2278, 4.7, 38.5
139.2, -3.6, 24.7, 96, 29, 86, -3.9, 33.1, 2277, 8.7, 37.7
140.4, -3.1, 24.8, 96, 29, 86, -3.9, 30.3, 2262, 7.9, 37.1
141.6, -2.8, 21.9, 96, 29, 86, -3.9, 26.1, 2230, 4.0, 38.3
142.8, -2.3, 16.6, 96, 29, 86, -4.7, 23.4, 2194, 3.9, 38.4
144.0, -3.2, 17.0, 96, 29, 86, -4.7, 21.1, 2144, 3.9, 37.9
145.2, -3.2, 17.6, 95, 29, 86, -4.7, 22.4, 2151, 4.2, 38.0
146.4, 3.9, 17.8, 94, 29, 86, -4.6, 22.1, 2149, 4.8, 37.9
147.6, 3.4, 18.1, 93, 29, 86, -3.9, 23.5, 2136, 5.7, 37.9
148.8, -1.6, 20.4, 93, 29, 86, -3.7, 23.0, 2123, 7.5, 37.4
150.0, -1.4, 20.0, 93, 29, 86, -3.1, 24.3, 2131, 6.8, 37.5
151.2, 1.6, 22.2, 92, 29, 86, -3.1, 25.5, 2145, 6.0, 37.5
152.4, 0.3, 23.9, 92, 29, 86, -3.1, 29.0, 2170, 7.6, 37.5
153.6, -2.2, 24.8, 92, 29, 86, -3.1, 29.4, 2170, 7.8, 37.3
154.8, -7.0, 27.9, 92, 29, 86, -3.1, 29.0, 2171, 8.7, 36.4
156.0, -7.0, 27.6, 91, 29, 85, -3.1, 32.4, 2159, 9.7, 35.2
157.2, -6.3, 27.5, 91, 29, 85, -3.7, 32.1, 2142, 12.9, 29.4
158.4, -6.3, 27.6, 90, 29, 85, -9.4, 36.4, 2110, 11.3, 31.0
159.6, -1.6, 26.6, 89, 29, 85, -9.4, 36.0, 2066, 7.2, 36.9
160.8, 4.7, 24.8, 87, 29, 85, -8.6, 33.5, 2061, 7.1, 36.9
162.0, 7.5, 25.9, 87, 29, 85, -8.6, 30.1, 2054, 7.2, 36.4
163.2, 11.7, 28.7, 86, 29, 85, -7.8, 31.7, 2044, 7.3, 36.4
164.4, 10.2, 31.8, 85, 29, 85, -7.0, 34.0, 2027, 8.7, 34.9
165.6, 7.9, 36.9, 84, 29, 85, -6.3, 43.7, 2092, 10.7, 32.8
166.8, -9.4, 49.4, 84, 29, 85, -6.7, 53.3, 2149, 15.3, 26.0
168.0, -8.4, 58.9, 85, 29, 85, -7.8, 65.1, 2053, 15.3, 25.8
169.2, -4.7, 57.3, 87, 29, 86, -8.5, 63.3, 2051, 15.1, 25.5
170.4, -4.7, 53.4, 87, 29, 86, -9.4, 60.0, 2048, 13.3, 26.0
171.6, -4.7, 43.9, 89, 29, 86, -9.4, 51.3, 2067, 12.4, 27.5
172.8, 1.9, 35.6, 89, 29, 86, -8.5, 41.2, 2093, 10.2, 33.9
174.0, 5.2, 26.0, 90, 29, 86, -3.9, 22.3, 2069, 7.5, 35.1
175.2, -0.8, 16.3, 91, 29, 86, -3.9, 24.0, 2061, 3.1, 37.5
176.4, -0.3, 18.7, 91, 29, 87, -3.9, 32.1, 2175, 6.4, 36.7
177.6, 0.8, 29.1, 92, 29, 87, -3.5, 33.2, 2188, 9.0, 36.0
178.8, -0.2, 28.5, 93, 29, 87, -3.1, 35.0, 2216, 9.0, 35.9
180.0, -1.6, 27.5, 94, 29, 87, -3.1, 32.0, 2213, 8.3, 36.5
181.2, 3.1, 24.9, 94, 29, 87, -3.1, 29.0, 2208, 6.7, 38.0
182.4, 3.0, 21.6, 95, 29, 87, -3.1, 28.3, 2220, 7.0, 38.0
183.6, 2.3, 22.8, 95, 29, 87, -3.1, 27.5, 2232, 7.5, 38.0
184.8, 0.3, 22.0, 95, 29, 87, -3.1, 23.1, 2166, 5.8, 38.0
186.0, -4.7, 16.7, 95, 29, 87, -3.5, 24.5, 2180, 5.0, 37.8
187.2, -0.0, 29.9, 95, 29, 87, -3.9, 27.0, 2218, 10.7, 34.9
188.4, 7.8, 62.4, 95, 29, 86, -5.5, 51.4, 2277, 12.8, 32.2
189.6, -0.6, 65.9, 96, 29, 86, -5.8, 76.0, 2364, 20.0, 19.0
190.8, -10.1, 70.6, 97, 29, 86, -7.8, 77.0, 2337, 20.0, 19.0
192.0, -0.0, 70.0, 98, 29, 86, -8.0, 75.7, 2315, 20.0, 19.0
193.2, -0.8, 68.7, 100, 29, 86, -8.6, 71.0, 2322, 18.4, 21.0
194.4, -4.7, 60.8, 101, 29, 86, -9.1, 71.0, 2324, 16.5, 24.0
195.6, -4.4, 60.6, 101, 29, 85, -10.2, 71.0, 2340, 16.5, 24.2
196.8, -3.1, 58.8, 102, 29, 85, -10.2, 66.0, 2344, 16.5, 24.5
198.0, -3.1, 58.7, 102, 29, 86, -10.2, 66.1, 2362, 17.0, 24.7
199.2, -3.1, 57.4, 103, 29, 86, -10.2, 65.5, 2365, 16.9, 25.3
200.4, -3.1, 57.3, 103, 29, 86, -10.2, 63.2, 2384, 16.2, 25.4
201.6, -0.3, 57.0, 103, 29, 86, -10.2, 63.0, 2384, 16.1, 25.5
202.8, 6.3, 55.7, 104, 29, 87, -9.8, 60.2, 2388, 15.6, 25.5
204.0, 5.1, 50.6, 104, 29, 87, -9.3, 56.0, 2396, 13.3, 25.5
205.2, 3.1, 37.6, 103, 29, 87, -4.7, 46.7, 2390, 12.3, 27.1
206.4, 2.6, 34.1, 103, 29, 87, -4.7, 37.0, 2382, 9.8, 35.0
207.6, 2.6, 30.5, 103, 29, 87, -4.7, 36.1, 2371, 9.8, 35.2
208.8, 3.9, 29.9, 102, 29, 87, -4.4, 36.0, 2358, 9.8, 35.5
210.0, 3.4, 29.9, 102, 29, 87, -3.9, 36.1, 2339, 9.9, 35.7
211.2, 2.3, 30.3, 101, 29, 87, -3.9, 36.4, 2332, 9.8, 36.0
212.4, 2.6, 29.9, 101, 29, 87, -3.9, 37.0, 2317, 9.9, 35.9
213.6, 3.1, 29.5, 100, 29, 87, -3.5, 36.5, 2309, 9.6, 36.0
214.8, 3.1, 29.1, 100, 29, 87, -3.1, 36.1, 2298, 9.0, 36.0
216.0, 2.6, 28.6, 100, 29, 87, -3.1, 39.2, 2291, 9.7, 35.5
217.2, -2.3, 31.7, 100, 29, 87, -3.1, 39.0, 2284, 10.6, 34.5
218.4, -2.5, 33.7, 99, 29, 87, -3.1, 39.1, 2277, 10.4, 34.8
219.6, -3.1, 31.4, 99, 29, 87, -3.1, 38.0, 2275, 10.2, 35.1
220.8, -3.1, 31.4, 99, 29, 87, -3.1, 37.2, 2271, 10.2, 35.5
222.0, -2.5, 32.7, 98, 29, 86, -3.1, 38.1, 2257, 11.2, 34.1
223.2, -0.0, 41.7, 98, 29, 86, -3.1, 38.0, 2258, 12.3, 31.8
224.4, -0.3, 43.9, 98, 29, 86, -3.1, 38.1, 2263, 13.0, 28.9
225.6, -0.8, 49.4, 99, 29, 86, -3.8, 44.0, 2270, 13.2, 28.9
226.8, -4.5, 52.4, 99, 29, 86, -4.7, 56.0, 2290, 16.5, 25.0
228.0, -10.9, 59.2, 101, 29, 86, -5.9, 60.4, 2306, 16.5, 24.9
229.2, -10.9, 58.6, 101, 29, 86, -7.2, 65.8, 2333, 16.5, 24.5
230.4, -8.1, 56.0, 102, 29, 86, -8.6, 63.1, 2354, 15.2, 25.3
231.6, 1.6, 44.4, 103, 29, 86, -8.6, 57.9, 2373, 13.7, 26.5
232.8, 2.6, 44.3, 103, 29, 86, -8.6, 47.0, 2386, 11.8, 29.3
234.0, 4.7, 44.3, 103, 29, 86, -7.8, 40.5, 2386, 10.3, 32.2
235.2, -1.6, 37.2, 103, 29, 86, -7.8, 30.1, 2386, 3.2, 38.4
236.4, -13.3, 15.9, 101, 29, 86, -6.7, 26.9, 2367, 3.1, 38.5
237.6, -11.0, 16.6, 101, 29, 87, -4.7, 19.1, 2240, 7.2, 38.5
238.8, -3.1, 22.9, 99, 29, 87, -4.3, 22.9, 2252, 7.1, 38.5
240.0, 0.7, 27.1, 99, 29, 87, -3.9, 29.0, 2297, 7.8, 38.0
241.2, 8.6, 43.9, 98, 29, 87, -5.2, 40.7, 2316, 10.0, 35.8
242.4, 0.7, 47.8, 99, 29, 87, -6.2, 53.6, 2342, 16.5, 25.5
243.6, -8.6, 53.7, 100, 29, 87, -5.5, 32.2, 2334, 12.9, 28.2
244.8, -4.2, 35.9, 100, 29, 87, -6.2, 34.0, 2338, 5.5, 38.0
246.0, -1.6, 26.3, 99, 29, 87, -8.6, 43.1, 2454, 10.6, 32.8
247.2, -1.6, 62.7, 100, 29, 87, -8.6, 50.8, 2447, 15.8, 26.5
248.4, -4.9, 60.0, 100, 29, 86, -8.6, 71.0, 2415, 18.4, 24.3
249.6, -12.5, 49.4, 103, 29, 86, -9.9, 61.9, 2428, 17.5, 23.3
250.8, -5.9, 47.3, 104, 29, 86, -10.4, 50.1, 2450, 14.5, 27.5
252.0, -0.4, 42.7, 105, 29, 86, -8.6, 40.1, 2434, 12.0, 30.8
253.2, 0.8, 29.1, 105, 29, 86, -8.2, 37.7, 2433, 9.7, 35.2
254.4, 0.8, 28.3, 105, 29, 86, -7.8, 34.0, 2431, 9.0, 36.9
255.6, 0.8, 26.8, 105, 29, 86, -7.0, 34.4, 2423, 9.3, 36.7
256.8, 3.5, 30.4, 105, 29, 86, -7.0, 35.1, 2408, 10.3, 34.9
258.0, 8.6, 39.7, 104, 29, 86, -6.3, 35.0, 2405, 11.0, 34.6
259.2, 2.0, 44.2, 104, 29, 86, -5.6, 35.0, 2397, 15.7, 26.0
260.4, -8.6, 53.3, 104, 29, 86, -7.0, 47.5, 2397, 15.7, 25.9
261.6, -5.8, 52.6, 104, 29, 86, -7.3, 59.0, 2397, 15.7, 25.5
262.8, -2.6, 51.7, 103, 29, 86, -9.4, 49.1, 2386, 14.6, 26.6
264.0, 3.1, 41.7, 103, 29, 86, -9.2, 50.5, 2374, 12.5, 29.5
265.2, 1.2, 44.1, 102, 29, 86, -8.6, 57.0, 2363, 14.3, 27.5
266.4, -1.9, 52.5, 102, 29, 86, -8.6, 54.5, 2363, 14.8, 26.6
267.6, 6.3, 47.3, 102, 29, 86, -8.6, 51.8, 2363, 13.3, 29.0
268.8, 5.6, 43.6, 102, 29, 86, -8.6, 50.1, 2360, 13.3, 29.0
270.0, 1.6, 51.4, 102, 29, 86, -8.1, 52.9, 2358, 13.3, 29.0
271.2, 0.6, 51.3, 102, 29, 87, -7.0, 63.0, 2358, 15.1, 27.1
272.4, -2.3, 51.0, 104, 29, 87, -7.5, 59.5, 2371, 16.5, 25.2
273.6, -2.6, 50.4, 104, 29, 87, -7.8, 56.0, 2390, 16.5, 26.5
274.8, -3.0, 49.4, 104, 29, 87, -7.8, 56.1, 2405, 14.5, 26.5
276.0, 0.8, 48.7, 104, 29, 87, -7.8, 55.7, 2405, 14.5, 26.5
277.2, 1.7, 48.0, 104, 29, 87, -7.8, 54.0, 2408, 14.1, 26.7
278.4, 3.9, 47.1, 104, 29, 87, -7.1, 54.0, 2407, 14.1, 27.0
279.6, 1.5, 46.7, 104, 29, 87, -6.3, 54.0, 2405, 14.1, 27.0
280.8, -1.2, 45.9, 104, 29, 87, -6.3, 53.4, 2405, 13.8, 27.2
282.0, 5.5, 43.9, 104, 29, 87, -6.1, 52.0, 2404, 13.3, 28.0
283.2, 5.0, 41.9, 104, 29, 87, -5.5, 48.0, 2391, 12.9, 28.8
284.4, 1.6, 40.5, 103, 29, 87, -5.2, 47.6, 2384, 12.5, 30.0
285.6, 2.6, 40.2, 103, 29, 87, -4.7, 47.0, 2364, 12.5, 29.9
286.8, 4.7, 39.7, 102, 29, 87, -4.3, 47.0, 2357, 12.5, 30.0
288.0, 2.4, 39.6, 102, 29, 87, -3.9, 47.0, 2341, 12.5, 30.0
289.2, -0.7, 39.6, 101, 29, 87, -3.5, 46.6, 2334, 12.1, 30.5
290.4, 1.6, 36.8, 100, 29, 87, -3.1, 46.0, 2320, 11.0, 32.5
291.6, 1.6, 32.9, 99, 29, 87, -3.1, 41.9, 2306, 11.0, 33.0
292.8, 3.9, 32.7, 99, 29, 87, -3.1, 38.2, 2287, 11.0, 35.0
294.0, 3.4, 32.7, 98, 29, 87, -3.1, 44.1, 2274, 11.6, 33.6
295.2, -3.9, 43.6, 98, 29, 87, -2.9, 44.9, 2260, 12.9, 29.5
296.4, -3.5, 43.5, 97, 29, 87, -2.3, 50.1, 2261, 12.9, 29.3
297.6, -0.8, 44.4, 97, 29, 87, -2.6, 50.6, 2257, 12.9, 29.0
298.8, -1.7, 44.5, 97, 29, 87, -3.1, 52.0, 2242, 13.3, 28.8
300.0, -4.7, 45.5, 97, 29, 87, -3.5, 52.0, 2243, 13.3, 28.5
301.2, -5.0, 45.8, 97, 29, 87, -3.9, 52.0, 2246, 13.3, 28.5
302.4, -5.4, 46.3, 97, 29, 87, -4.7, 52.5, 2250, 13.3, 28.5
303.6, -3.9, 46.8, 98, 29, 87, -4.8, 53.0, 2254, 13.3, 28.5
304.8, -3.7, 47.1, 98, 29, 87, -5.5, 53.1, 2262, 13.3, 28.3
306.0, -3.1, 47.1, 98, 29, 87, -5.5, 53.0, 2263, 13.3, 28.0
307.2, -3.1, 46.5, 98, 29, 87, -5.5, 53.0, 2267, 13.3, 28.5
308.4, -3.1, 44.7, 98, 29, 87, -4.7, 52.1, 2267, 13.2, 29.0
309.6, -2.8, 44.4, 98, 29, 87, -4.7, 51.0, 2268, 12.9, 29.0
310.8, -2.3, 43.5, 98, 29, 87, -4.7, 51.0, 2267, 13.0, 28.9
312.0, -2.3, 44.8, 98, 29, 87, -4.7, 51.0, 2265, 13.3, 28.5
313.2, -2.3, 47.1, 98, 29, 87, -3.9, 52.6, 2265, 13.3, 28.4
314.4, -2.7, 47.1, 98, 29, 87, -4.0, 53.6, 2265, 13.3, 28.0
315.6, -2.1, 46.5, 98, 29, 87, -4.7, 48.1, 2261, 12.3, 29.3
316.8, 4.7, 36.2, 97, 29, 87, -4.7, 46.4, 2256, 11.0, 32.0
318.0, 2.8, 36.1, 97, 29, 87, -4.8, 43.0, 2238, 11.0, 33.5
319.2, 0.0, 36.1, 97, 29, 87, -7.0, 42.5, 2230, 11.0, 33.5
320.4, 2.3, 36.1, 97, 29, 87, -6.9, 42.0, 2219, 11.0, 33.5
321.6, 3.0, 36.1, 96, 29, 87, -6.3, 42.1, 2202, 11.0, 33.5
322.8, 7.8, 36.2, 95, 29, 87, -5.8, 42.0, 2199, 11.0, 33.5
324.0, 6.4, 37.4, 95, 29, 87, -4.7, 42.0, 2191, 11.0, 33.5
